# Sample_0,Sample_1,Sample_2
3.314815886398395691e-04,-6.105457498564299769e-04,-2.119761754025112702e-03
5.424837281291960056e-04,6.028410697707320355e-05,-7.941782879469261617e-04
-2.831018934800939163e-03,6.588466419616513048e-04,-9.342444765318685257e-04
2.332673151872758678e-03,1.906554895974022596e-03,-2.815454986284070694e-03
5.015865786923322722e-04,6.274653193174921633e-04,2.925790612684487507e-03
-2.551194353953632581e-03,-4.519092517739798243e-04,-4.930971662083457100e-05
2.760208634356391307e-03,1.311915390060449955e-03,1.007739664835897823e-03
1.134179177066500050e-03,2.126889389403752596e-03,8.552648047735877251e-04
-1.267710083469600823e-03,4.776426517643780011e-04,1.207878201703720686e-03
3.314027495894817900e-05,1.335743539628564836e-03,-9.142119557245020943e-04
3.965803946686991335e-03,1.515252983606685602e-03,2.061685107032811166e-03
2.665357311652888101e-03,5.072861412850580018e-04,-2.104519429149745262e-03
5.879796770421480999e-06,-1.395975722305484125e-03,-8.219266628840415532e-04
-3.699657069055310808e-03,-2.333034738049301847e-04,-4.496297064828460102e-03
-3.067463826703133774e-03,1.110222242660561468e-03,1.556975497587277310e-03
-3.247663374177311665e-04,-5.029800989921610031e-03,1.468752789821056249e-03
3.051433937731120607e-04,1.714123421325269717e-04,-1.187284361587255971e-04
-1.828642385949331203e-03,-7.753020320565409728e-04,1.962775162080025552e-03
-6.860378429907669452e-04,-5.657403541088933726e-04,2.641532440640629708e-03
-4.658487201704952492e-05,-1.178009759351025029e-03,5.662874614738935570e-04
-1.284826471154680843e-04,1.188694642840544156e-03,-5.735275020879003352e-04
-3.950863874436715516e-04,-4.846851020601589989e-03,7.318690417127726765e-04
-3.701910995673192428e-03,-4.154638827607557566e-03,-3.325798365836759359e-03
2.179893314560997660e-04,4.470937630761556182e-04,1.373983574841022501e-03
-3.175678680717679628e-03,1.978797428303197617e-03,-4.402164959633095287e-03
1.178474004941355803e-03,1.133514238559131179e-03,-1.465735739555902757e-03
-3.002033450363189322e-03,3.206848102377990082e-04,-1.979139313775447016e-03
4.413119319940365828e-04,-1.245377054539063355e-03,1.436338896347313975e-03
3.066659498841908110e-03,6.201708303027733335e-04,9.377917055065732943e-04
-1.729376311777688652e-03,-1.991259521594048332e-03,-8.506606844331150458e-04
-6.978838805273014352e-05,2.602145526706572173e-03,-5.247013911275019010e-03
1.834147825673135388e-04,-1.694738764751220353e-03,-1.331018898243425388e-03
2.612055293111633335e-03,3.481770639318316953e-03,1.367356103125238510e-03
6.241465269743602098e-04,7.228836934833921413e-04,8.184630072590027118e-04
-3.535740468021640864e-03,-1.665285097255035478e-03,-4.861824209873848168e-03
-6.241282753846361542e-04,1.084967518747298069e-04,-3.447284335419098424e-03
-2.649310970552336622e-03,-2.791454158320827547e-04,-3.213055804866888233e-03
-2.870844183438257639e-03,3.669568360118785708e-03,1.217070969135012476e-03
2.178149408550037868e-03,2.071479809241222846e-03,-1.131049276557054241e-03
-1.042666759144801093e-03,-5.292727904551849331e-04,-1.561465957030776404e-03
-3.150144804314156956e-04,-2.906498209470647406e-03,9.834516433385217648e-04
-1.934406717222113736e-04,3.064604545651313915e-03,1.463162754304054170e-03
7.766504533803119032e-05,-3.124942943662538213e-03,-1.473757895834495795e-03
-5.450363220956626998e-05,-6.938795369461096471e-04,-1.962534632100184848e-03
-2.793606559720647996e-03,-1.776125956424574014e-03,-2.223004689485239948e-03
1.350413349010236850e-04,-9.336786594477972188e-04,1.765884874137716538e-03
-2.303436908427131547e-03,-1.403215161736383592e-03,-2.746729144226328200e-03
-1.015358801693168507e-03,2.112375705490845534e-03,-1.193183619836612162e-03
-4.869773115937991396e-04,-2.489024169007888684e-03,2.733223286182305620e-03
-1.329786922888935693e-04,5.511521872930262057e-04,-3.173799538739800318e-03
3.472865357472110074e-04,-4.130178763591831233e-03,4.731829943728367918e-03
2.685747166534419332e-04,-4.328168804409658968e-03,-7.881560400970689289e-04
-1.162135107349840726e-03,-3.909862961646202398e-04,-1.315002206688817114e-03
1.310819507796780062e-03,2.367729962974523747e-03,2.736425369598360785e-05
7.940755603028441497e-04,5.803891351879386998e-04,7.712874362096857261e-04
-1.011175557542159150e-03,1.956227202007769506e-03,-1.876487090473909431e-03
2.801407082124176499e-04,-7.254065545239202174e-05,-5.711332398999868472e-04
7.606870197203888587e-04,-3.297823520271112724e-03,-3.419857538242311503e-03
-4.764430387142487718e-04,3.913553602190757283e-04,1.331094693302954223e-03
3.198707366743568092e-03,1.886800283069660052e-03,1.368613381149912057e-03
2.315401507907011072e-03,7.938760808760966185e-04,8.473075155608193482e-04
2.585502252654782777e-04,-9.877690985753122960e-04,-3.047339626720127221e-03
6.843379343265729555e-04,1.778416220314069183e-03,-2.066122980352038362e-03
1.575697434127162856e-03,-3.695224713575084754e-04,-1.067512586677701985e-05
-5.087476250504638364e-03,-2.658315176861968717e-04,-8.712188542914663363e-04
2.675212172046692160e-03,1.002187890941876351e-03,3.335318833449497878e-04
7.952087702803642801e-04,-2.149604039857296554e-03,1.964907498296288024e-03
1.721054184766955498e-03,-9.030108066202114769e-04,-1.427986381239060949e-03
-3.852893041326333878e-03,2.488839674229371621e-03,-2.239486486459088402e-04
1.098819166839807172e-03,1.713132974830514294e-03,-6.012667380110743847e-04
-1.070591370731632103e-03,3.038751018741374355e-04,4.235610657699918728e-03
1.064008799748961034e-03,-8.453473713191430585e-04,-1.198100060791511051e-03
-4.595077159958097369e-04,-2.848671702886985697e-03,1.892007886763744486e-03
-3.972021653453328832e-03,8.390336772583294840e-04,1.346305947111712956e-03
-1.040657580591328440e-03,-1.088087162087982094e-03,7.342601527506676176e-04
-1.131973561977106437e-03,2.309942423386238553e-03,1.604082042097828209e-03
-2.343121690788610434e-03,9.304837449011989529e-04,-2.502986634146518621e-04
-4.275994653481602573e-04,7.610425235195634975e-04,1.041048394053955628e-03
2.086652632410700668e-03,-2.104641843897441921e-03,2.732642586678402444e-03
