Wed Aug  6 10:47:05 2025    output.prof

         8957353 function calls (8678762 primitive calls) in 142.250 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     85/1    0.001    0.000  142.615  142.615 {built-in method builtins.exec}
        1    0.000    0.000  142.615  142.615 <string>:1(<module>)
        1    0.029    0.029  142.615  142.615 /home/sp970/sam/notes/Create_Training_Data_Function/createTrainingData.py:25(createTrainingData)
      230    0.014    0.000  141.840    0.617 /home/sp970/sam/notes/Create_Training_Data_Function/createTrainingData.py:87(generateSignal)
      230    0.013    0.000  110.335    0.480 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:128(peakListFromSpinSystemMatrix)
      230    0.002    0.000  110.199    0.479 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:156(<listcomp>)
      376    0.001    0.000  110.195    0.293 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:483(qm_spinsystem)
      376    0.102    0.000  110.194    0.293 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:447(secondorder_sparse)
      376    0.020    0.000  101.985    0.271 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:422(solve_hamiltonian)
      376    0.062    0.000  101.360    0.270 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:372(_intensity_and_energy)
32609/29513    0.495    0.000   97.839    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
      376    0.001    0.000   97.096    0.258 <__array_function__ internals>:177(eigh)
      376   97.087    0.258   97.094    0.258 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:1317(eigh)
      230    0.003    0.000   31.492    0.137 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:9(createLineshape)
      230    4.611    0.020   31.292    0.136 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:91(add_lorentzians)
   213112   26.681    0.000   26.681    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:66(lorentz)
      376    0.010    0.000    7.268    0.019 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:205(hamiltonian_sparse)
     1128    0.032    0.000    5.535    0.005 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_common.py:69(tensordot)
     1128    0.040    0.000    4.828    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_common.py:302(_dot)
        3    0.000    0.000    3.421    1.140 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     80/3    0.001    0.000    3.411    1.137 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:915(compile)
     17/3    0.000    0.000    3.410    1.137 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:124(compile)
     17/3    0.000    0.000    3.410    1.137 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     17/3    0.001    0.000    3.410    1.137 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:146(_compile_core)
     17/3    0.000    0.000    3.409    1.136 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:744(compile_extra)
     1128    0.037    0.000    3.338    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_io.py:71(load_npz)
  855/327    0.002    0.000    3.177    0.010 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     18/3    0.000    0.000    3.149    1.050 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:455(compile_extra)
     18/3    0.000    0.000    3.147    1.049 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:524(_compile_bytecode)
