Wed Aug  6 12:02:42 2025    output.prof

         11870861 function calls (11437881 primitive calls) in 70.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     87/1    0.001    0.000   70.687   70.687 {built-in method builtins.exec}
        1    0.000    0.000   70.686   70.686 <string>:1(<module>)
        1    0.012    0.012   70.686   70.686 /home/sp970/sam/notes/Create_Training_Data_Function/createTrainingData.py:45(createTrainingData)
      230    0.018    0.000   69.943    0.304 /home/sp970/sam/notes/Create_Training_Data_Function/createTrainingData.py:168(generateSignal)
      230    0.018    0.000   54.521    0.237 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:207(peakListFromSpinSystemMatrix)
      230    0.002    0.000   54.341    0.236 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:246(<listcomp>)
      376    0.001    0.000   54.338    0.145 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:483(qm_spinsystem)
      376    0.098    0.000   54.337    0.145 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:447(secondorder_sparse)
      376    0.032    0.000   46.795    0.124 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:422(solve_hamiltonian)
      376    0.056    0.000   46.148    0.123 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:372(_intensity_and_energy)
36699/33603    0.491    0.000   43.111    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
      376    0.001    0.000   42.387    0.113 <__array_function__ internals>:177(eigh)
      376   42.379    0.113   42.385    0.113 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:1317(eigh)
      230    0.011    0.000   15.404    0.067 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:50(createLineshape)
      230   13.376    0.058   13.377    0.058 /home/sp970/sam/notes/Create_Training_Data_Function/trainingDataLib.py:11(_createLineshape_numba)
      376    0.010    0.000    6.586    0.018 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:205(hamiltonian_sparse)
     1128    0.031    0.000    5.058    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_common.py:69(tensordot)
        4    0.000    0.000    4.798    1.200 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
    111/4    0.002    0.000    4.792    1.198 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:915(compile)
     27/4    0.000    0.000    4.791    1.198 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:124(compile)
     27/4    0.000    0.000    4.791    1.198 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     27/4    0.001    0.000    4.791    1.198 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/dispatcher.py:146(_compile_core)
     27/4    0.000    0.000    4.790    1.198 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:744(compile_extra)
 1332/354    0.003    0.000    4.591    0.013 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
