experiment,weight,acid,base,ph
1,,,,2.65
2,0.99,1.51,1.59,3.04
3,0.97,1.46,1.57,2.99
4,0.96,1.42,1.55,3.31
5,0.96,1.4,1.58,3.33
6,0.96,1.38,1.45,2.96
7,0.95,1.35,1.55,3.83
8,0.96,1.26,1.55,3.65
9,0.95,1.26,1.54,4.36
10,0.98,1.26,1.58,4.61
11,0.99,1.25,1.58,4.7
12,0.97,1.23,1.57,4.9
13,0.97,1.19,1.57,5.13
14,0.98,1.14,1.55,5.32
15,0.97,1.14,1.57,5.48
16,0.98,1.11,1.56,5.59
17,0.97,1.11,1.57,5.79
18,0.98,1.09,1.59,6
19,0.97,1.06,1.57,6.8
20,0.97,1.04,1.56,6.3
21,0.97,1.02,1.58,6.51
22,0.97,1.01,1.57,6.55
23,0.97,0.98,1.56,7.09
24,,,,7.53
