,eppendorf base weight / g,post citric acid stock weight / g,post salt stock weight / g,post tris buffer weight / g,post milliq weight / g
25,0.98,1.12,1.11,1.86,2.46
26,0.97,1.11,1.15,1.88,2.47
27,0.97,1.11,1.15,1.9,2.46
28,0.97,1.12,1.17,1.92,2.46
29,0.97,1.12,1.17,1.92,2.45
30,0.97,1.12,1.18,1.93,2.45
31,0.98,1.12,1.2,1.95,2.46
32,0.96,1.12,1.2,1.95,2.44
33,0.96,1.11,1.21,1.96,2.44
34,0.97,1.12,1.24,1.98,2.44
35,0.98,1.11,1.25,1.99,2.46
36,0.97,1.12,1.27,2.01,2.46
37,0.97,1.13,1.13,1.86,2.45
38,0.97,1.13,1.13,1.88,2.45
39,0.96,1.12,1.15,1.89,2.45
40,0.96,1.12,1.16,1.9,2.45
41,0.97,1.12,1.17,1.91,2.45
42,0.97,1.12,1.18,1.93,2.43
43,0.97,1.12,1.21,1.95,2.45
44,0.97,1.12,1.21,1.96,2.44
45,0.97,1.12,1.23,1.97,2.45
46,0.97,1.12,1.24,1.99,2.44
47,0.97,1.12,1.25,2,2.44
48,0.97,1.12,1.27,2.02,2.45
