,eppendorf base weight / g,post citric acid stock weight / g,post salt stock weight / g,post tris buffer weight / g,post milliq weight / g
25,0.9765,1.1266,1.1266,1.8701,2.466
26,0.9745,1.1266,1.1399,1.8843,2.4636
27,0.9747,1.1274,1.1533,1.8967,2.4653
28,0.9775,1.1293,1.1686,1.9252,2.4775
29,0.9779,1.1267,1.1799,1.9244,2.4634
30,0.9743,1.1253,1.1904,1.9352,2.4598
31,0.9782,1.1299,1.2095,1.9548,2.4684
32,0.9766,1.1282,1.2204,1.9715,2.4711
33,0.9782,1.1297,1.2356,1.9818,2.4674
34,0.9788,1.1301,1.2527,2.0003,2.4705
35,0.9729,1.122,1.2625,2.0085,2.4648
36,0.9788,1.1312,1.2681,1.9966,2.4399
37,0.9779,1.1295,1.1299,1.8801,2.4702
38,0.973,1.125,1.1385,1.8876,2.4729
39,0.9795,1.1305,1.1573,1.9126,2.4798
40,0.9709,1.1251,1.1634,1.9048,2.4546
41,0.978,1.1289,1.183,1.9282,2.465
42,0.9778,1.1283,1.1942,1.9387,2.4642
43,0.9718,1.1259,1.2062,1.9549,2.4642
44,0.9754,1.1291,1.2203,1.964,2.4631
45,0.9794,1.1308,1.2379,1.9818,2.4647
46,0.9699,1.1214,1.2418,1.9864,2.4552
47,0.9767,1.1317,1.2653,2.0089,2.4671
48,0.9735,1.1307,1.2844,2.0281,2.4721
