experiment,weight,acid,base,ph
1,0.9794,1.9829,1.9829,2.7
2,0.9758,1.8292,1.97,2.29
3,0.9733,1.7767,1.9618,3.28
4,0.9745,1.7372,1.9666,3.41
5,0.9747,1.6946,1.9647,3.54
6,0.9791,1.667,1.9761,3.62
7,0.9769,1.5946,1.9622,3.99
8,0.9789,1.5363,1.9621,4.1
9,0.978,1.4848,1.9683,4.22
10,0.9765,1.4566,1.9649,4.39
11,0.9791,1.4279,1.9672,4.65
12,0.976,1.3781,1.9646,4.79
13,0.9739,1.3252,1.9608,5.18
14,0.9745,1.2799,1.9656,5.22
15,0.9793,1.2336,1.9702,5.45
16,0.9767,1.2143,1.9685,5.49
17,0.9786,1.1883,1.9662,5.73
18,0.9698,1.1542,1.9579,5.76
19,0.9804,1.1228,1.9726,6.01
20,0.9734,1.1009,1.9602,6.24
21,0.9759,1.0603,1.9632,6.31
22,0.9793,1.0405,1.9646,6.35
23,0.9789,1.0036,1.9633,7
24,0.9794,0.9794,1.9599,7.77
