Fri Aug  8 10:52:33 2025    morgan/output.prof

         22111613 function calls (21385925 primitive calls) in 126.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1842   56.664    0.031   56.853    0.031 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:1279(__call__)
     1842   33.973    0.018   34.048    0.018 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/compiler.py:288(backend_compile)
        1    9.525    9.525    9.525    9.525 /usr/src/app/morgan/createTrainingData.py:236(_get_lineshapes_numba)
    43003    2.272    0.000    2.780    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/ffi.py:195(__call__)
       31    2.096    0.068    2.096    0.068 {built-in method gc.collect}
     1842    1.815    0.001    1.923    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:602(make_ir_context)
34796/34356    1.747    0.000    1.753    0.000 {built-in method numpy.asarray}
      590    1.533    0.003    1.534    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/array.py:620(_value)
       35    1.227    0.035    1.227    0.035 /usr/src/app/morgan/trainingDataLib.py:20(_createLineshape_numba)
      714    0.766    0.001    0.770    0.001 {method 'cache_clear' of 'functools._lru_cache_wrapper' objects}
     6600    0.662    0.000   27.220    0.004 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dispatch.py:82(apply_primitive)
     1842    0.641    0.000    0.667    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2615(_get_layouts_from_executable)
       31    0.527    0.017    1.610    0.052 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/api.py:2812(clear_caches)
      590    0.331    0.001    0.332    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:911(_dot_coo_coo)
       31    0.305    0.010    0.306    0.010 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/util.py:338(clear_all_weakref_lru_caches)
3417844/3416964    0.293    0.000    0.393    0.000 {built-in method builtins.isinstance}
        1    0.249    0.249  106.832  106.832 /usr/src/app/morgan/trainingDataLib.py:291(calculate_eigenvalues_and_intensities)
363203/63146    0.218    0.000    0.305    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/ir.py:321(_rec_list_vars)
      440    0.146    0.000    0.147    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:113(comp_method_OBJECT_ARRAY)
731234/726971    0.143    0.000    0.258    0.000 {built-in method builtins.getattr}
     1842    0.137    0.000    0.910    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:1356(lower_jaxpr_to_fun)
    47361    0.120    0.000    0.144    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/_utils.py:24(deduplicate)
    34445    0.115    0.000    0.309    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/instructions.py:13(__init__)
      295    0.110    0.000    0.110    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:113(<listcomp>)
     8433    0.106    0.000    0.106    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1842    0.101    0.000    0.101    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:595(__init__)
     3226    0.100    0.000    0.100    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lib/__init__.py:96(_xla_gc_callback)
   239702    0.096    0.000    0.256    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:243(notify)
     1842    0.093    0.000    3.059    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:1080(lower_jaxpr_to_module)
231315/117460    0.093    0.000    0.331    0.000 {method 'format' of 'str' objects}
     1842    0.088    0.000    3.526    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2183(lower_sharding_computation)
    15513    0.081    0.000    0.081    0.000 {built-in method zlib.crc32}
