Fri Aug  8 08:24:11 2025    morgan/output.prof

         17555703 function calls (16866950 primitive calls) in 41.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    109/1    0.000    0.000   42.003   42.003 {built-in method builtins.exec}
        1    0.000    0.000   42.003   42.003 <string>:1(<module>)
        1    0.001    0.001   42.003   42.003 /usr/src/app/morgan/createTrainingData.py:47(createTrainingData)
       22    0.298    0.014   26.227    1.192 /usr/src/app/morgan/trainingDataLib.py:216(generatePeaklists)
       22    0.834    0.038   21.978    0.999 /usr/src/app/morgan/trainingDataLib.py:281(calculate_eigenvalues_and_intensities)
    14548   16.076    0.001   16.076    0.001 {built-in method numpy.array}
        1    0.000    0.000   12.227   12.227 /usr/src/app/morgan/createTrainingData.py:192(get_lineshapes)
        1    9.225    9.225    9.225    9.225 /usr/src/app/morgan/createTrainingData.py:223(_get_lineshapes_numba)
       21    0.001    0.000    7.273    0.346 /usr/src/app/morgan/createTrainingData.py:253(generateSignal)
        6    0.000    0.000    6.579    1.096 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/dispatcher.py:344(_compile_for_args)
    315/6    0.002    0.000    6.566    1.094 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/dispatcher.py:858(compile)
     79/6    0.000    0.000    6.565    1.094 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/dispatcher.py:79(compile)
     79/6    0.000    0.000    6.565    1.094 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/dispatcher.py:86(_compile_cached)
     79/6    0.001    0.000    6.565    1.094 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/dispatcher.py:101(_compile_core)
     79/6    0.000    0.000    6.564    1.094 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:713(compile_extra)
 3009/417    0.005    0.000    6.445    0.015 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     87/6    0.000    0.000    6.434    1.072 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:433(compile_extra)
     87/6    0.000    0.000    6.432    1.072 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:500(_compile_bytecode)
     90/6    0.001    0.000    6.432    1.072 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:456(_compile_core)
     94/6    0.004    0.000    6.430    1.072 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler_machinery.py:342(run)
 2321/166    0.038    0.000    6.427    0.039 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler_machinery.py:267(_runPass)
 6955/498    0.004    0.000    6.414    0.013 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler_machinery.py:271(check)
    82/41    0.003    0.000    5.410    0.132 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/typed_passes.py:437(run_pass)
   309/89    0.001    0.000    4.055    0.046 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/types/functions.py:531(get_call_type)
   309/89    0.001    0.000    4.053    0.046 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/dispatcher.py:304(get_call_template)
