,version,creation_date,update_date,accession,status,name,description,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey,state,chemspider_id,drugbank_id,foodb_id,pubchem_compound_id,pdb_id,chebi_id,phenol_explorer_compound_id,knapsack_id,kegg_id,biocyc_id,bigg_id,wikipedia_id,metlin_id,vmh_id,fbonto_id,synthesis_reference,hmdb_accession
SU:1,5.0,2005-11-16 15:48:42 UTC,2021-10-13 17:34:04 UTC,HMDB0000001,quantified,1-Methylhistidine,"1-Methylhistidine, also known as 1-MHis or 1MH, belongs to the class of organic compounds known as histidine and derivatives. 1MH is also classified as a methylamino acid. Methylamino acids are primarily proteogenic amino acids (found in proteins) which have been methylated (in situ) on their side chains by various methyltransferase enzymes. Histidine can be methylated at either the N1 or N3 position of its imidazole ring, yielding the isomers 1-methylhistidine (1MH; also referred to as pi-methylhistidine) or 3-methylhistidine (3MH; tau-methylhistidine), respectively. There is considerable confusion with regard to the nomenclature of the methylated nitrogen atoms on the imidazole ring of histidine and other histidine-containing peptides such as anserine. In particular, older literature (mostly prior to the year 2000) designated anserine (Npi methylated) as beta-alanyl-N1-methyl-histidine, whereas according to standard IUPAC nomenclature, anserine is correctly named as beta-alanyl-N3-methyl-histidine. As a result, many papers published prior to the year 2000 incorrectly identified 1MH as a specific marker for dietary consumption or various pathophysiological effects when they really were referring to 3MH (PMID: 24137022).  Recent discoveries have shown that 1MH is produced in essentially all mammals (and other vertebrates) via the enzyme known as METTL9 (PMID: 33563959). METTL9 is a broad-specificity methyltransferase that mediates the formation of the majority of 1MH present in mammalian proteomes. METTL9-catalyzed methylation requires a His-x-His (HxH) motif, where ""x"" is a small amino acid. This HxH motif is found in a number of abundant mammalian proteins such as ARMC6, S100A9, and NDUFB3 (PMID: 33563959). Because of its abundance in many muscle-related proteins, 1MH has been found to be a good biomarker for the consumption of meat (PMID: 21527577). Dietary studies have shown that poultry consumption (p-trend = 0.0006) and chicken consumption (p-trend = 0.0003) are associated with increased levels of 1MH in human plasma (PMID: 30018457). The consumption of fish, especially salmon and cod, has also been shown to increase the levels of 1MH in serum and urine (PMID: 31401679). As a general rule, urinary 1MH is associated with white meat intake (p< 0.001), whereas urinary 3MH is associated with red meat intake (p< 0.001) (PMID: 34091671).",C7H11N3O2,169.1811,169.085126611,(2S)-2-amino-3-(1-methyl-1H-imidazol-4-yl)propanoic acid,1 methylhistidine,332-80-9,CN1C=NC(C[C@H](N)C(O)=O)=C1,"InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",BRMWTNUJHUMWMS-LURJTMIESA-N,Solid,83153.0,DB04151,FDB093588,92105.0,,50599.0,,C00052105,C01152,,,Methylhistidine,3741.0,,,"Jain, Rahul; Cohen, Louis A. Regiospecific alkylation of histidine and histamine at N-1 (t).Tetrahedron  (1996),  52(15),  5363-70.",HMDB0000001
SU:2,5.0,2005-11-16 15:48:42 UTC,2021-10-13 04:18:52 UTC,HMDB0000002,quantified,"1,3-Diaminopropane","1,3-Diaminopropane, also known as DAP or trimethylenediamine, belongs to the class of organic compounds known as monoalkylamines. These are organic compounds containing a primary aliphatic amine group. 1,3-Diaminopropane is a stable, flammable, and highly hygroscopic fluid. It is a polyamine that is normally quite toxic if swallowed, inhaled, or absorbed through the skin. It is a catabolic byproduct of spermidine. It is also a precursor in the enzymatic synthesis of beta-alanine. 1,3-Diaminopropane is involved in the arginine/proline metabolic pathways and the beta-alanine metabolic pathway. 1,3-Diaminopropane has been detected, but not quantified in, several different foods, such as cassava, shiitakes, oyster mushrooms, muscadine grapes, and cinnamons. This could make 1,3-diaminopropane a potential biomarker for the consumption of these foods.",C3H10N2,74.1249,74.08439833,"propane-1,3-diamine","α,ω-propanediamine",109-76-2,NCCCN,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,Liquid,415.0,,FDB005274,428.0,,15725.0,,C00007404,C00986,CPD-313,,"1,3-Diaminopropane",,,,"Takayanagi, Yasuyuki; Oohinata, Takahiro.  Preparation of 1,3-diaminopropane from acrylonitrile and ammonia.    Jpn. Kokai Tokkyo Koho  (1994),     5 pp.",HMDB0000002
SU:3,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:11:34 UTC,HMDB0000005,quantified,2-Ketobutyric acid,"2-Ketobutyric acid, also known as alpha-ketobutyrate or 2-oxobutyrate, belongs to the class of organic compounds known as short-chain keto acids and derivatives. These are keto acids with an alkyl chain the contains less than 6 carbon atoms. 2-Ketobutyric acid is a substance that is involved in the metabolism of many amino acids (glycine, methionine, valine, leucine, serine, threonine, isoleucine) as well as propanoate metabolism and C-5 branched dibasic acid metabolism. It is also one of the degradation products of threonine. It can be converted into propionyl-CoA (and subsequently methylmalonyl CoA, which can be converted into succinyl CoA, a citric acid cycle intermediate), and thus enter the citric acid cycle. More specifically, 2-ketobutyric acid is a product of the lysis of cystathionine.",C4H6O3,102.0886,102.031694058,2-oxobutanoic acid,2-oxobutanoic acid,600-18-0,CCC(=O)C(O)=O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",TYEYBOSBBBHJIV-UHFFFAOYSA-N,Solid,57.0,DB04553,FDB030356,58.0,,30831.0,,C00019675,C00109,2-OXOBUTANOATE,33889.0,Alpha-Ketobutyric_acid,,2OBUT,,"Figge, Rainer; Lux, Fabien; Raynaud, Celine; Soucaille, Philippe. Production of a-ketobutyrate by engineered Escherichia coli.PCT Int. Appl.  (2006), 31pp.  ",HMDB0000005
SU:7,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:44:42 UTC,HMDB0000012,quantified,Deoxyuridine,"Deoxyuridine, also known as dU, belongs to the class of organic compounds known as pyrimidine 2'-deoxyribonucleosides. Pyrimidine 2'-deoxyribonucleosides are compounds consisting of a pyrimidine linked to a ribose which lacks a hydroxyl group at position 2. It is similar in chemical structure to uridine, but without the 2'-hydroxyl group. Deoxyuridine exists in all living organisms, ranging from bacteria to humans. Within humans, deoxyuridine participates in a number of enzymatic reactions. In particular, deoxyuridine can be biosynthesized from deoxycytidine through its interaction with the enzyme cytidine deaminase. In addition, deoxyuridine can be converted into uracil and deoxyribose 1-phosphate through its interaction with the enzyme thymidine phosphorylase. Deoxyuridine is considered to be an antimetabolite that is converted into deoxyuridine triphosphate during DNA synthesis. Laboratory suppression of deoxyuridine is used to diagnose megaloblastic anemia due to vitamin B12 and folate deficiencies. In humans, deoxyuridine is involved in the metabolic disorder called UMP synthase deficiency (orotic aciduria). Outside of the human body, deoxyuridine has been detected, but not quantified in, several different foods, such as lichee, highbush blueberries, agaves, macadamia nut (M. tetraphylla), and red bell peppers. This could make deoxyuridine a potential biomarker for the consumption of these foods.",C9H12N2O5,228.202,228.074621504,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione",2'-deoxyuridine,951-78-0,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",MXHRCPNRJAMMIM-SHYZEUOFSA-N,Solid,13118.0,DB02256,FDB021870,13712.0,,16450.0,,C00019697,C00526,DEOXYURIDINE,35251.0,Deoxyuridine,5086.0,DURI,,"Huang, Haoqiang; Chu, Chung K. A practical synthesis of 2'-deoxyuridine from uridine. Synthetic Communications  (1990),  20(7),  1039-46.",HMDB0000012
SU:11,5.0,2005-11-16 15:48:42 UTC,2021-10-13 04:18:54 UTC,HMDB0000017,quantified,4-Pyridoxic acid,"4-Pyridoxic acid is a member of the class of compounds known as methylpyridines. More specifically it is a 2-methylpyridine derivative substituted by a hydroxy group at C-3, a carboxy group at C-4, and a hydroxymethyl group at C-5. 4-Pyridoxic acid is the catabolic product of vitamin B6 (also known as pyridoxine, pyridoxal and pyradoxamine) and is excreted in the urine. Urinary levels of 4-pyridoxic acid are lower in females than in males and will be reduced even further in persons with a riboflavin deficiency. 4-Pyridoxic acid is formed by the action of aldehyde oxidase I (an endogenous enzyme) and by microbial enzymes (pyridoxal 4-dehydrogenase), an NAD-dependent aldehyde dehydrogenase. 4-pyridoxic acid can be further broken down by the gut microflora via the enzyme known as 4-pyridoxic acid dehydrogenase. This enzyme catalyzes the four-electron oxidation of 4-pyridoxic acid to 3-hydroxy-2-methylpyridine-4,5-dicarboxylate, using nicotinamide adenine dinucleotide (NAD) as a cofactor.",C8H9NO4,183.1614,183.053157781,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid,pyridoxic acid,82-82-6,CC1=NC=C(CO)C(C(O)=O)=C1O,"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",HXACOUQIXZGNBF-UHFFFAOYSA-N,Solid,6467.0,,FDB021874,6723.0,,17405.0,,C00052160,C00847,CPD-1112,36190.0,,239.0,4PYRDX,,"Senkuma, Masahiko; Imada, Katsumi; Sato, Masatada. Preparation of 4-pyridoxic acid. Jpn. Kokai Tokkyo Koho  (1992),  2 pp. ",HMDB0000017
SU:12,5.0,2005-11-16 15:48:42 UTC,2020-10-09 20:57:01 UTC,HMDB0000019,quantified,alpha-Ketoisovaleric acid,"alpha-Ketoisovaleric acid is an abnormal metabolite that arises from the incomplete breakdown of branched-chain amino acids. alpha-Ketoisovaleric acid is a neurotoxin, an acidogen, and a metabotoxin. A neurotoxin causes damage to nerve cells and nerve tissues. An acidogen is an acidic compound that induces acidosis, which has multiple adverse effects on many organ systems. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of alpha-ketoisovaleric acid are associated with maple syrup urine disease. MSUD is a metabolic disorder caused by a deficiency of the branched-chain alpha-keto acid dehydrogenase complex (BCKDC), leading to a buildup of the branched-chain amino acids (leucine, isoleucine, and valine) and their toxic by-products (ketoacids) in the blood and urine. The symptoms of MSUD often show in infancy and lead to severe brain damage if untreated. MSUD may also present later depending on the severity of the disease. If left untreated in older individuals, during times of metabolic crisis, symptoms of the condition include uncharacteristically inappropriate, extreme, or erratic behaviour and moods, hallucinations, anorexia, weight loss, anemia, diarrhea, vomiting, dehydration, lethargy, oscillating hypertonia and hypotonia, ataxia, seizures, hypoglycemia, ketoacidosis, opisthotonus, pancreatitis, rapid neurological decline, and coma.  In maple syrup urine disease, the brain concentration of branched-chain ketoacids can increase 10- to 20-fold. This leads to a depletion of glutamate and a consequent reduction in the concentration of brain glutamine, aspartate, alanine, and other amino acids. The result is a compromise of energy metabolism because of a failure of the malate-aspartate shuttle and a diminished rate of protein synthesis (PMID: 15930465). alpha-Ketoisovaleric acid is a keto-acid, which is a subclass of organic acids. Abnormally high levels of organic acids in the blood (organic acidemia), urine (organic aciduria), the brain, and other tissues lead to general metabolic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated MSUD. Many affected children with organic acidemias experience intellectual disability or delayed development.",C5H8O3,116.1152,116.047344122,3-methyl-2-oxobutanoic acid,α-ketoisovalerate,759-05-7,CC(C)C(=O)C(O)=O,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",QHKABHOOEWYVLI-UHFFFAOYSA-N,Solid,48.0,DB04074,FDB012250,49.0,,16530.0,,C00007623,C00141,2-KETO-ISOVALERATE,34011.0,Alpha-Ketoisovaleric acid,5091.0,3MOB,,"Pirrung, Michael C.; Ha, Hyun Joon; Holmes, Christopher P. Purification and inhibition of spinach a,b-dihydroxyacid dehydratase . Journal of Organic Chemistry  (1989),  54(7),  1543-8. ",HMDB0000019
SU:13,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:11:36 UTC,HMDB0000020,quantified,p-Hydroxyphenylacetic acid,"p-Hydroxyphenylacetic acid, also known as 4-hydroxybenzeneacetate, is classified as a member of the 1-hydroxy-2-unsubstituted benzenoids. 1-Hydroxy-2-unsubstituted benzenoids are phenols that are unsubstituted at the 2-position. p-Hydroxyphenylacetic acid is considered to be slightly soluble (in water) and acidic.  p-Hydroxyphenylacetic acid can be synthesized from acetic acid. It is also a parent compound for other transformation products, including but not limited to, methyl 2-(4-hydroxyphenyl)acetate, ixerochinolide, and lactucopicrin 15-oxalate.  p-Hydroxyphenylacetic acid can be found in numerous foods such as olives, cocoa beans, oats, and mushrooms. p-Hydroxyphenylacetic acid can be found throughout all human tissues and in all biofluids. Within a cell, p-hydroxyphenylacetic acid is primarily located in the cytoplasm and in the extracellular space. p-Hydroxyphenylacetic acid is also a microbial metabolite produced by Acinetobacter, Clostridium, Klebsiella, Pseudomonas, and Proteus. Higher levels of this metabolite are associated with an overgrowth of small intestinal bacteria from Clostridia species including C. difficile, C. stricklandii, C. lituseburense, C. subterminale, C. putrefaciens, and C. propionicum (PMID: 476929, 12173102). p-Hydroxyphenylacetic acid is detected after the consumption of whole grain.",C8H8O3,152.1473,152.047344122,2-(4-hydroxyphenyl)acetic acid,4-hydroxyphenylacetic acid,156-38-7,OC(=O)CC1=CC=C(O)C=C1,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",XQXPVVBIMDBYFF-UHFFFAOYSA-N,Solid,124.0,,FDB010534,127.0,,18101.0,573.0,,C00642,4-HYDROXYPHENYLACETATE,35599.0,4-hydroxyphenylacetic_acid,130.0,4HPHAC,,"Qiao, Xi-long; Tian, Hui; Li, Wen; Zhao, Xiu-yun; Zhang, Jin-fang.  Study of 4-hydroxyphenylacetic acid synthesis from glyoxalic acid.    Hebei Gongye Keji  (2005),  22(5),  264-266. ",HMDB0000020
SU:14,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:20:01 UTC,HMDB0000021,quantified,Iodotyrosine,"Iodotyrosine is an iodated derivative of L-tyrosine. This is an early precursor to L-thyroxine, one of the primary thyroid hormones. In the thyroid gland, iodide is trapped, transported, and concentrated in the follicular lumen for thyroid hormone synthesis. Before trapped iodide can react with tyrosine residues, it must be oxidized by thyroid peroxidase. Iodotyrosine is made from tyrosine via thyroid peroxidase and then further iodinated by this enzyme to make the di-iodo and tri-iodo variants. Two molecules of di-iodotyrosine combine to form T4, and one molecule of mono-iodotyrosine combines with one molecule of di-iodotyrosine to form T3.",C9H10INO3,307.0851,306.970536611,(2S)-2-amino-3-(4-hydroxy-3-iodophenyl)propanoic acid,iodotyrosine,70-78-0,N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O,"InChI=1S/C9H10INO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)/t7-/m0/s1",UQTZMGFTRHFAAM-ZETCQYMHSA-N,Solid,388804.0,DB01758,FDB021875,439744.0,,27847.0,,,C02515,CPD-12288,39998.0,3-Iodotyrosine,,3ITYR_L,,"Hillmann, Gunther; Hillmann-Elies, Anneliese.  Synthesis of 3-iodo-L-tyrosine.    Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie  (1956),  305  177-81. ",HMDB0000021
SU:15,5.0,2005-11-16 15:48:42 UTC,2020-11-09 23:11:37 UTC,HMDB0000022,quantified,3-Methoxytyramine,"3-methoxytyramine, also known as 4-(2-amino-Ethyl)-2-methoxy-phenol or 3-O-Methyldopamine, is classified as a member of the Methoxyphenols. Methoxyphenols are compounds containing a methoxy group attached to the benzene ring of a phenol moiety. 3-methoxytyramine is considered to be slightly soluble (in water) and acidic.  3-methoxytyramine can be found primarily in human brain and most tissues tissues; and in blood, cerebrospinal fluid (csf) or urine. Within a cell, 3-methoxytyramine is primarily located in the cytoplasm",C9H13NO2,167.205,167.094628665,4-(2-aminoethyl)-2-methoxyphenol,methoxytyramine,554-52-9,COC1=C(O)C=CC(CCN)=C1,"InChI=1S/C9H13NO2/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,11H,4-5,10H2,1H3",DIVQKHQLANKJQO-UHFFFAOYSA-N,Solid,1606.0,,FDB021876,1669.0,,742324.0,,C00042132,C05587,,46076.0,3-Methoxytyramine,5094.0,3MOXTYR,,"Kametani, Tetsuji; Takano, Seiichi; Karibe, Etsuo.  Syntheses of heterocyclic compounds. LXXXVII. Simplified synthesis of 3-methoxy-4-hydroxy- and 3-methoxy-4-tosyloxyphenethylamine.    Yakugaku Zasshi  (1963),  83(11),  1035-9.  ",HMDB0000022
SU:17,5.0,2005-11-16 15:48:42 UTC,2020-02-27 20:29:27 UTC,HMDB0000026,quantified,Ureidopropionic acid,"Ureidopropionic acid, also known as 3-ureidopropanoate or N-carbamoyl-beta-alanine, belongs to the class of organic compounds known as ureas. Ureas are compounds containing two amine groups joined by a carbonyl (C=O) functional group. Ureidopropionic acid is an intermediate in the metabolism of uracil. More specifically, it is a breakdown product of dihydrouracil and is produced by the enzyme dihydropyrimidase. It is further decomposed into beta-alanine via the enzyme beta-ureidopropionase. Ureidopropionic acid is essentially a urea derivative of beta-alanine. High levels of ureidopropionic acid are found in individuals with beta-ureidopropionase (UP) deficiency (PMID: 11675655). Enzyme deficiencies in pyrimidine metabolism are associated with a risk for severe toxicity against the antineoplastic agent 5-fluorouracil. Ureidopropionic acid has been detected, but not quantified in, several different foods, such as gram beans, broccoli, climbing beans, oriental wheat, and mandarin orange (clementine, tangerine). This could make ureidopropionic acid a potential biomarker for the consumption of these foods.",C4H8N2O3,132.1179,132.053492132,3-(carbamoylamino)propanoic acid,ureidopropionic acid,462-88-4,NC(=O)NCCC(O)=O,"InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)",JSJWCHRYRHKBBW-UHFFFAOYSA-N,Solid,109.0,,FDB021879,,,18261.0,,,C02642,3-UREIDO-PROPIONATE,,3-Ureidopropionic_acid,,,,"w-Ureido carboxylic acids.    (1962),     3 pp.  GB  913713  19621228  CAN 58:72975  AN 1963:72975    ",HMDB0000026
