,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3087,SU:35,,,,,,,bmse000159,GISSMO,bmse000159
SA:3088,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617
SA:3089,SU:1527,,,,,,,bmse000603,GISSMO,bmse000603
SA:3090,SU:234,,,,,,,bmse000830,GISSMO,bmse000830
SA:3091,SU:487,,,,,,,bmse000824,GISSMO,bmse000824
SA:3092,SU:261,,,,,,,bmse000429,GISSMO,bmse000429
SA:3093,SU:1189,,,,,,,bmse000415,GISSMO,bmse000415
SA:3094,SU:353,,,,,,,bmse000373,GISSMO,bmse000373
SA:3095,SU:1604,,,,,,,bmse000367,GISSMO,bmse000367
SA:3096,SU:121,,,,,,,bmse000398,GISSMO,bmse000398
SA:3097,SU:1334,,,,,,,bmse001125,GISSMO,bmse001125
SA:3098,SU:185,,,,,,,bmse000207,GISSMO,bmse000207
SA:3099,SU:107,,,,,,,bmse000039,GISSMO,bmse000039
SA:3100,SU:28,,,,,,,bmse000005,GISSMO,bmse000005
SA:3101,SU:1782,,,,,,,bmse000777,GISSMO,bmse000777
SA:3102,SU:1500,,,,,,,bmse000944,GISSMO,bmse000944
SA:3103,SU:40,,,,,,,bmse000950,GISSMO,bmse000950
SA:3104,SU:118,,,,,,,bmse000978,GISSMO,bmse000978
SA:3105,SU:113,,,,,,,bmse000979,GISSMO,bmse000979
SA:3106,SU:117,,,,,,,bmse000776,GISSMO,bmse000776
SA:3107,SU:1970,,,,,,,bmse000762,GISSMO,bmse000762
SA:3108,SU:310,,,,,,,bmse000038,GISSMO,bmse000038
SA:3109,SU:1091,,,,,,,bmse000986,GISSMO,bmse000986
SA:3110,SU:106,,,,,,,bmse000212,GISSMO,bmse000212
SA:3111,SU:1537,,,,,,,bmse000574,GISSMO,bmse000574
SA:3112,SU:1902,,,,,,,bmse000560,GISSMO,bmse000560
SA:3113,SU:607,,,,,,,bmse000206,GISSMO,bmse000206
SA:3114,SU:1542,,,,,,,bmse000548,GISSMO,bmse000548
SA:3115,SU:1464,,,,,,,bmse001124,GISSMO,bmse001124
SA:3116,SU:167,,,,,,,bmse000399,GISSMO,bmse000399
SA:3117,SU:1749,,,,,,,bmse000400,GISSMO,bmse000400
SA:3118,SU:1949,,,,,,,bmse000414,GISSMO,bmse000414
SA:3119,SU:1710,,,,,,,bmse000428,GISSMO,bmse000428
SA:3120,SU:1163,,,,,,,bmse000825,GISSMO,bmse000825
SA:3121,SU:1495,,,,,,,bmse000831,GISSMO,bmse000831
SA:3122,SU:1776,,,,,,,bmse000602,GISSMO,bmse000602
SA:3123,SU:180,,,,,,,bmse000158,GISSMO,bmse000158
SA:3124,SU:1885,,,,,,,bmse000166,GISSMO,bmse000166
SA:3125,SU:251,,,,,,,bmse000614,GISSMO,bmse000614
SA:3126,SU:333,,,,,,,bmse000172,GISSMO,bmse000172
SA:3127,SU:305,,,,,,,bmse000199,GISSMO,bmse000199
SA:3128,SU:1607,,,,,,,bmse000358,GISSMO,bmse000358
SA:3129,SU:25,,,,,,,bmse000402,GISSMO,bmse000402
SA:3130,SU:384,,,,,,,bmse000364,GISSMO,bmse000364
SA:3131,SU:92,,,,,,,bmse000238,GISSMO,bmse000238
SA:3132,SU:1566,,,,,,,bmse000576,GISSMO,bmse000576
SA:3133,SU:1786,,,,,,,bmse000589,GISSMO,bmse000589
SA:3134,SU:827,,,,,,,bmse000990,GISSMO,bmse000990
SA:3135,SU:1971,,,,,,,bmse000984,GISSMO,bmse000984
SA:3136,SU:1528,,,,,,,bmse000774,GISSMO,bmse000774
SA:3137,SU:324,,,,,,,bmse000760,GISSMO,bmse000760
SA:3138,SU:271,,,,,,,bmse000006,GISSMO,bmse000006
SA:3139,SU:58,,,,,,,bmse000953,GISSMO,bmse000953
SA:3140,SU:97,,,,,,,bmse000947,GISSMO,bmse000947
SA:3141,SU:72,,,,,,,bmse000952,GISSMO,bmse000952
SA:3142,SU:374,,,,,,,bmse000761,GISSMO,bmse000761
SA:3143,SU:1751,,,,,,,bmse000007,GISSMO,bmse000007
SA:3144,SU:1574,,,,,,,bmse000775,GISSMO,bmse000775
SA:3145,SU:1972,,,,,,,bmse000985,GISSMO,bmse000985
SA:3146,SU:1973,,,,,,,bmse000211,GISSMO,bmse000211
SA:3147,SU:319,,,,,,,bmse000239,GISSMO,bmse000239
SA:3148,SU:699,,,,,,,bmse001133,GISSMO,bmse001133
SA:3149,SU:881,,,,,,,bmse000371,GISSMO,bmse000371
SA:3150,SU:415,,,,,,,bmse000417,GISSMO,bmse000417
