Mon Aug 11 11:06:11 2025    morgan/output.prof

         3125654 function calls (3071940 primitive calls) in 36.021 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      376   15.053    0.040   20.073    0.053 /usr/src/app/morgan/qm.py:376(_intensity_and_energy)
      230   12.640    0.055   12.640    0.055 /usr/src/app/morgan/trainingDataLib.py:20(_createLineshape_numba)
      752    3.247    0.004    3.249    0.004 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/array.py:620(_value)
      376    0.645    0.002    0.645    0.002 {method 'dot' of 'numpy.ndarray' objects}
      376    0.508    0.001    0.509    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:983(_dot_coo_ndarray)
      752    0.322    0.000    0.323    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:911(_dot_coo_coo)
      376    0.183    0.000    0.183    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:113(<listcomp>)
      440    0.174    0.000    0.175    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:113(comp_method_OBJECT_ARRAY)
      376    0.147    0.000    0.148    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/shape_base.py:380(stack)
39832/39392    0.118    0.000    0.126    0.000 {built-in method numpy.asarray}
      752    0.112    0.000    0.138    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_twodim_base_impl.py:497(triu)
    10377    0.106    0.000    0.106    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      376    0.102    0.000    0.389    0.001 /usr/src/app/morgan/qm.py:402(_compile_peaklist)
      758    0.099    0.000    0.099    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lib/__init__.py:96(_xla_gc_callback)
      376    0.089    0.000    0.091    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dispatch.py:82(apply_primitive)
    19401    0.081    0.000    0.081    0.000 {built-in method zlib.crc32}
     3384    0.069    0.000    0.246    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1031(reshape)
     4512    0.064    0.000    0.064    0.000 {built-in method builtins.compile}
    15155    0.064    0.000    3.402    0.000 {built-in method numpy.array}
    13562    0.058    0.000    0.058    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6408    0.053    0.000    0.054    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/common.py:57(linear_loc)
     4512    0.053    0.000    0.492    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:762(read_array)
8272/6016    0.052    0.000    0.163    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:406(equivalent)
8468/7340    0.048    0.000    0.275    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:198(__init__)
      230    0.044    0.000    0.044    0.000 /usr/src/app/morgan/trainingDataLib.py:236(<listcomp>)
385263/384383    0.043    0.000    0.085    0.000 {built-in method builtins.isinstance}
     9024    0.041    0.000    0.168    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1489(open)
     1504    0.039    0.000    0.251    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:576(_get_func_coords_data)
    29892    0.038    0.000    0.084    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:743(read)
    23319    0.030    0.000    0.296    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:905(read)
     2962    0.029    0.000    0.029    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    10377    0.028    0.000    0.263    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:987(_read1)
     4512    0.026    0.000    0.159    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:604(_read_array_header)
     1358    0.025    0.000    0.026    0.000 {built-in method io.open}
      376    0.024    0.000    0.542    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:101(normalize_peaklist)
     1128    0.024    0.000    0.970    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:339(_dot)
317634/304720    0.024    0.000    0.026    0.000 {built-in method builtins.len}
     1128    0.024    0.000    0.067    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1331(_RealGetContents)
    31020    0.023    0.000    0.023    0.000 {method 'tell' of '_io.BufferedReader' objects}
36096/4512    0.023    0.000    0.027    0.000 /opt/conda/envs/ml/lib/python3.10/ast.py:84(_convert)
    34404    0.021    0.000    0.021    0.000 {method 'read' of '_io.BufferedReader' objects}
     2192    0.021    0.000    0.023    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/numeric.py:290(full)
     9024    0.020    0.000    0.037    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:795(__init__)
     2844    0.020    0.000    0.026    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
        1    0.020    0.020   36.234   36.234 /usr/src/app/morgan/createTrainingData.py:25(createTrainingData)
     2076    0.020    0.000    0.113    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:656(_match_coo)
      752    0.019    0.000    0.019    0.000 {method 'outer' of 'numpy.ufunc' objects}
     4512    0.019    0.000    0.753    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:233(__getitem__)
     7716    0.017    0.000    0.058    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:31(__init__)
    18807    0.017    0.000    0.255    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:971(_read_bytes)
      376    0.017    0.000    0.017    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:98(<listcomp>)
     1128    0.017    0.000    0.940    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_io.py:71(load_npz)
     1128    0.016    0.000    1.309    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:95(tensordot)
    55380    0.016    0.000    0.026    0.000 {built-in method _abc._abc_instancecheck}
     1504    0.015    0.000    0.048    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1292(_sort_indices)
     2233    0.015    0.000    0.108    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:389(__init__)
    35532    0.013    0.000    0.013    0.000 {method 'seek' of '_io.BufferedReader' objects}
    44171    0.013    0.000    0.013    0.000 {built-in method builtins.getattr}
    29482    0.013    0.000    0.050    0.000 {built-in method builtins.all}
     5836    0.013    0.000    0.020    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:126(_get_broadcast_shape)
     3008    0.012    0.000    0.055    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:649(can_store)
    18800    0.012    0.000    0.032    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/numerictypes.py:471(issubdtype)
    18048    0.012    0.000    0.021    0.000 {method 'decode' of 'bytes' objects}
    32548    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:404(parent)
     1880    0.012    0.000    0.016    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_arraysetops_impl.py:339(_unique1d)
      376    0.012    0.000    0.012    0.000 {built-in method builtins.sum}
     3384    0.011    0.000    0.019    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:56(parse_parts)
    37600    0.011    0.000    0.018    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/numerictypes.py:289(issubclass_)
      752    0.011    0.000    0.077    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:393(__init__)
     3008    0.011    0.000    0.022    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:282(__array_function__)
    72333    0.010    0.000    0.010    0.000 {built-in method builtins.issubclass}
      752    0.010    0.000    0.302    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:457(get_result)
      220    0.010    0.000    0.455    0.002 /usr/src/app/morgan/createTrainingData.py:98(getSsmData)
     4512    0.010    0.000    0.057    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:978(linear_loc)
    10377    0.010    0.000    0.037    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1023(_read2)
    55380    0.010    0.000    0.035    0.000 /opt/conda/envs/ml/lib/python3.10/abc.py:117(__instancecheck__)
     9024    0.009    0.000    0.022    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1039(close)
     1504    0.009    0.000    0.010    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:1369(diff)
     4512    0.009    0.000    0.105    0.000 /opt/conda/envs/ml/lib/python3.10/ast.py:54(literal_eval)
     9415    0.009    0.000    0.014    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexes/base.py:3784(get_loc)
     1794    0.009    0.000    0.015    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1164(maybe_infer_to_datetimelike)
     2255    0.009    0.000    0.034    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/construction.py:517(sanitize_array)
