Mon Aug 11 11:19:47 2025    morgan/output.prof

         29177502 function calls (28676758 primitive calls) in 175.382 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3526   78.724    0.022  110.322    0.031 /usr/src/app/morgan/qm.py:376(_intensity_and_energy)
     2120   30.596    0.014   30.603    0.014 /usr/src/app/morgan/trainingDataLib.py:20(_createLineshape_numba)
     7052   15.400    0.002   15.417    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/array.py:620(_value)
     3526    5.220    0.001    5.220    0.001 {method 'dot' of 'numpy.ndarray' objects}
     3526    4.701    0.001    4.704    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:983(_dot_coo_ndarray)
     7052    2.876    0.000    2.883    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:911(_dot_coo_coo)
     4040    2.045    0.001    2.058    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:113(comp_method_OBJECT_ARRAY)
     3526    1.823    0.001    1.823    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:113(<listcomp>)
     3526    1.508    0.000    1.524    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/shape_base.py:380(stack)
     3526    1.188    0.000    1.205    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dispatch.py:82(apply_primitive)
372022/367982    1.126    0.000    1.207    0.000 {built-in method numpy.asarray}
     7052    1.110    0.000    1.370    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_twodim_base_impl.py:497(triu)
     3526    1.102    0.000    4.006    0.001 /usr/src/app/morgan/qm.py:402(_compile_peaklist)
     6876    1.032    0.000    1.032    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lib/__init__.py:96(_xla_gc_callback)
    97047    1.023    0.000    1.023    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   181671    0.758    0.000    0.758    0.000 {built-in method zlib.crc32}
    42312    0.673    0.000    0.673    0.000 {built-in method builtins.compile}
    31734    0.672    0.000    2.496    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1031(reshape)
   141065    0.623    0.000   16.895    0.000 {built-in method numpy.array}
   126512    0.581    0.000    0.581    0.000 {method 'reduce' of 'numpy.ufunc' objects}
77572/56416    0.545    0.000    1.639    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:406(equivalent)
     2120    0.544    0.000    0.546    0.000 /usr/src/app/morgan/trainingDataLib.py:154(<listcomp>)
    59868    0.519    0.000    0.526    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/common.py:57(linear_loc)
79298/68720    0.518    0.000    2.862    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:198(__init__)
