,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id,sample_id,frequency,temperature,temperature_units,data_source,real_spectrum_relative_path,multiplet_id1,multiplet_id2,spectrum_id,j
CP:3087.1,SU:35,,,,,,,bmse000159,GISSMO,bmse000159,SA:3087,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H']",MT:3087.1,MT:3087.2,SP:3087,-12.4
CP:3087.2,SU:35,,,,,,,bmse000159,GISSMO,bmse000159,SA:3087,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H']",MT:3087.1,MT:3087.3,SP:3087,5.791867
CP:3087.3,SU:35,,,,,,,bmse000159,GISSMO,bmse000159,SA:3087,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H']",MT:3087.1,MT:3087.4,SP:3087,6.093705
CP:3087.4,SU:35,,,,,,,bmse000159,GISSMO,bmse000159,SA:3087,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H']",MT:3087.2,MT:3087.3,SP:3087,7.275135
CP:3087.5,SU:35,,,,,,,bmse000159,GISSMO,bmse000159,SA:3087,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H']",MT:3087.2,MT:3087.4,SP:3087,7.723549
CP:3087.6,SU:35,,,,,,,bmse000159,GISSMO,bmse000159,SA:3087,499.84,,,xml,"['BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H.5', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H_2', 'BMRB/bmrb_metabolomics/bmse000159/nmr/set01/1H']",MT:3087.3,MT:3087.4,SP:3087,-12.4
CP:3088.1,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.1,MT:3088.2,SP:3088,-12.5
CP:3088.2,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.1,MT:3088.3,SP:3088,-12.5
CP:3088.3,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.1,MT:3088.4,SP:3088,7.3318345
CP:3088.4,SU:1941,,,,,,,bmse000617,GISSMO,bmse000617,SA:3088,499.84,,,xml,['BMRB/bmrb_metabolomics/bmse000617/nmr/set01/1H'],MT:3088.1,MT:3088.5,SP:3088,7.3318345
