,spectrum_id,center,atom_ref,multiplicity
MT:3087.1,SP:3087,2.543,7,
MT:3087.2,SP:3087,2.543,8,
MT:3087.3,SP:3087,3.163,9,
MT:3087.4,SP:3087,3.163,10,
MT:3088.1,SP:3088,0.88236,13,
MT:3088.2,SP:3088,0.88236,14,
MT:3088.3,SP:3088,0.88236,15,
MT:3088.4,SP:3088,1.96169,16,
MT:3088.5,SP:3088,1.71024,17,
MT:3088.6,SP:3088,3.3823,23,
MT:3088.7,SP:3088,7.36164,21,
MT:3088.8,SP:3088,7.37119,19,
MT:3088.9,SP:3088,7.28822,18,
MT:3088.10,SP:3088,7.37119,20,
MT:3088.11,SP:3088,7.36164,22,
MT:3089.1,SP:3089,1.22927,10,
MT:3089.2,SP:3089,1.30555,11,
MT:3089.3,SP:3089,1.27588,12,
MT:3089.4,SP:3089,1.64978,13,
MT:3089.5,SP:3089,1.76386,14,
MT:3089.6,SP:3089,1.75697,15,
MT:3089.7,SP:3089,1.93679,16,
MT:3089.8,SP:3089,1.46988,17,
MT:3089.9,SP:3089,1.93793,18,
MT:3089.10,SP:3089,1.44096,19,
MT:3089.11,SP:3089,2.33167,20,
MT:3090.1,SP:3090,2.0225,14,
MT:3090.2,SP:3090,2.0225,15,
MT:3090.3,SP:3090,2.0225,16,
MT:3090.4,SP:3090,4.1351,25,
MT:3090.5,SP:3090,1.80959,21,
MT:3090.6,SP:3090,1.69724,22,
MT:3090.7,SP:3090,1.41282,17,
MT:3090.8,SP:3090,1.41282,18,
MT:3090.9,SP:3090,1.66519,19,
MT:3090.10,SP:3090,1.68842,20,
MT:3090.11,SP:3090,2.9881,23,
MT:3090.12,SP:3090,2.98914,24,
MT:3091.1,SP:3091,2.53042,26,
MT:3091.2,SP:3091,2.76332,27,
MT:3091.3,SP:3091,4.70428,29,
MT:3091.4,SP:3091,4.2254,30,
MT:3091.5,SP:3091,6.24587,31,
MT:3091.6,SP:3091,8.1283,28,
MT:3091.7,SP:3091,3.9605,24,
MT:3091.8,SP:3091,3.9605,25,
MT:3091.9,SP:3091,100.0,,
MT:3092.1,SP:3092,1.64956,12,
MT:3092.2,SP:3092,1.60805,13,
MT:3092.3,SP:3092,1.8795,14,
MT:3092.4,SP:3092,1.8231,15,
MT:3092.5,SP:3092,2.23322,16,
MT:3092.6,SP:3092,2.22998,17,
MT:3092.7,SP:3092,3.72556,18,
MT:3093.1,SP:3093,7.16874,9,
MT:3093.2,SP:3093,6.48373,10,
MT:3093.3,SP:3093,6.48373,11,
MT:3093.4,SP:3093,6.42476,12,
MT:3094.1,SP:3094,0.897,8,
MT:3094.2,SP:3094,0.897,9,
MT:3094.3,SP:3094,0.897,10,
MT:3094.4,SP:3094,1.94,16,
MT:3094.5,SP:3094,0.8975,11,
MT:3094.6,SP:3094,0.8975,12,
MT:3094.7,SP:3094,0.8975,13,
MT:3094.8,SP:3094,2.0414,14,
MT:3094.9,SP:3094,2.04114,15,
MT:3095.1,SP:3095,4.04218,6,
MT:3095.2,SP:3095,4.04218,7,
MT:3096.1,SP:3096,1.22356,9,
MT:3096.2,SP:3096,1.22356,10,
MT:3096.3,SP:3096,1.22356,11,
MT:3096.4,SP:3096,3.15498,12,
MT:3097.1,SP:3097,1.68358,12,
MT:3097.2,SP:3097,1.68356,13,
MT:3097.3,SP:3097,1.68674,14,
MT:3097.4,SP:3097,1.60815,15,
MT:3097.5,SP:3097,1.60815,16,
MT:3097.6,SP:3097,1.60815,17,
MT:3097.7,SP:3097,1.68843,18,
MT:3097.8,SP:3097,1.67793,19,
MT:3097.9,SP:3097,1.68861,20,
MT:3097.10,SP:3097,2.10271,21,
MT:3097.11,SP:3097,2.10853,22,
MT:3097.12,SP:3097,5.09686,23,
MT:3097.13,SP:3097,2.03409,24,
MT:3097.14,SP:3097,2.03616,25,
MT:3097.15,SP:3097,5.42086,26,
MT:3097.16,SP:3097,4.16386,27,
MT:3097.17,SP:3097,4.15321,28,
MT:3098.1,SP:3098,7.22881,13,
MT:3098.2,SP:3098,7.31657,14,
MT:3098.3,SP:3098,7.57329,15,
MT:3098.4,SP:3098,7.70626,16,
MT:3098.5,SP:3098,7.3306,21,
MT:3098.6,SP:3098,3.33149,17,
MT:3098.7,SP:3098,3.33149,18,
MT:3098.8,SP:3098,3.1779,19,
MT:3098.9,SP:3098,3.1779,20,
MT:3099.1,SP:3099,7.06729,14,
MT:3099.2,SP:3099,7.8271,15,
MT:3099.3,SP:3099,3.13321,12,
MT:3099.4,SP:3099,3.23107,13,
MT:3099.5,SP:3099,3.98092,16,
MT:3100.1,SP:3100,8.11198,26,
MT:3100.2,SP:3100,8.55859,27,
MT:3100.3,SP:3100,6.09346,31,
MT:3100.4,SP:3100,4.7929,30,
MT:3100.5,SP:3100,4.52532,29,
MT:3100.6,SP:3100,4.38439,28,
MT:3100.7,SP:3100,4.04772,24,
MT:3100.8,SP:3100,4.02972,25,
MT:3100.9,SP:3100,100.0,,
