,citric acid stock / µL,sodium citrate stock / µL,tris buffer stock / µL,magnesium salt stock / µL,calcium salt stock / µL,milliq µL
49,75,75,750,150,150,300
50,75,75,750,150,150,300
51,75,75,750,150,150,300
52,75,75,750,150,150,300
53,75,75,750,150,150,300
54,75,75,750,150,150,300
55,75,75,750,150,150,300
56,75,75,750,150,150,300
57,75,75,750,150,150,300
58,75,75,750,150,150,300
59,75,75,750,150,150,300
60,75,75,750,150,150,300
61,75,75,750,150,150,300
62,75,75,750,150,150,300
63,75,75,750,150,150,300
64,75,75,750,150,150,300
65,75,75,750,150,150,300
66,75,75,750,150,150,300
67,75,75,750,150,150,300
68,75,75,750,150,150,300
69,75,75,750,150,150,300
70,75,75,750,150,150,300
71,75,75,750,150,150,300
72,75,75,750,150,150,300
